id,pali,pos,meaning
2714,atthavādī 1,adj,who speaks what is beneficial; who says what is meaningful
21278,kāyindriya 1,nt,sense of touch; haptic faculty
21448,kālavādī,adj,who speaks at the proper time
28538,jivhindriya 1,nt,sense of taste; gustatory faculty
37294,nidhānavant,adj,worth treasuring; worth recording; worth keeping in the heart
39739,pajjota 1,masc,lamp; lantern
43936,pariyantavant,adj,restricted; within limits; with defined purpose
49722,bhāra 1,masc,burden; load; weight
50182,bhūtavādī,adj,who speaks what is true
57938,sadattha 1.1,masc,highest good; true welfare; spiritual health
62271,sāpadesa,adj,with reason; reasonable; with grounds; with authority
63818,sutta 1.3,nt,lying down; sleeping
69687,vihāra 3,masc,mode of living; way of life; way to spend time; mode of existence
70035,vutta 2.1,pp,said; told; spoken; mentioned
2202,atipātī 1,adj,attacking; harming; killing
5672,antamaso 1,ind,even so much as; even with; even down to; with as little as
5675,antara 1,adj,inside; inner; internal; within
6358,aparitassanta,prp,being unperturbed; being unshaken
10273,avatthu,adj,without base; without grounds; without foundation
11454,ātapa 1,masc,heat; heat of the sun; sunshine
11528,ādāyī,adj,taking; receiving; accepting
11873,āpatti 1,fem,entering; going into
12528,ārogya 1,nt,health; wellness; freedom from disease
16430,upāsikā,fem,female disciple; laywomen; female devotee
20867,kaṃsa 3,masc,(bronze) cup; goblet; chalice
22434,kumbha 1,masc,clay pot; water jar; pitcher
23880,khetta 1,nt,field; plot of land
27058,cetasika 1,adj,mental; related to mind
29032,ṭhāna 01,nt,(physical) place
29236,taca 1,masc,(of a humna) skin
37876,niyata 2,pp,certain; decided; invariable; unavoidable; of fixed destiny
37999,niraya,masc,hell; hell realm
38455,nivisati,pr,settles down; establishes; makes at home
39003,pakāra 1,masc,method; manner; way
39317,paccattaññeva,sandhi,for oneself; individually; personally
41851,patta 3.1,pp,reached; attained; gained; accomplished; found
42304,panāyaṃ,sandhi,and this; but this
43463,paritassati,pr,is perturbed; is shaken; is agitated; is anguished
44404,pareta 1,pp,afflicted (with); overcome (by); attacked (by); overwhelmed (by)
44587,pasattha,pp,praised; commended; exalted (by)
44647,pasāda 1,masc,inspiration; faith; trust; confidence
48511,buddha 1,masc,Buddha; Awakened One
49642,bhāga 1,masc,part; portion; share; measure
50077,bhujissa 1,adj,cleansing; freeing; liberating
50270,bheda 2,masc,death
50689,majja 1,nt,intoxicant; drug; alcohol
52105,maṃsa 1,nt,meat; flesh
53287,meraya,masc,fermented liquor; wine
54308,yoni 3,fem,rebirth (as); realm of existence
54723,rasasampanna,adj,delicious; good-tasting; tasty; full of flavour
63093,sīta 2,masc,coolness; cold
67655,vijjuppāda,masc,arising of understanding; birth of wisdom; appearance of knowledge
68017,vidha 1.1,adj,of the kind; of the sort; of the variety; -fold
1536,aññatra 2,ind,apart (from); aside (from); other (than); except (for); without
2741,atthika 2.1,adj,wanting; in need (of); desiring; seeking
5217,anusaya,masc,underlying tendency (to); inherent inclination (to); dormant disposition (towards); propensity (to)
5532,anekavihita,adj,various; different kinds of; many different
6957,appamatta 1.1,pp,diligent (in); vigilant (about); careful (about); attentive (to)
12279,āyu 1,nt,life
12746,āsaṅga,masc,robe; cloak
13646,iddhi 1,fem,psychic power; psychic potency; supernormal ability
18077,evamassa 1,sandhi,he would (think) thus; this would occur to him
19371,kaṭṭha 1.1,nt,stick; plank; log; wood; timber
25848,catasso,card,four (4)
26262,caraṇa 1.1,nt,behaviour; conduct; (theory and) practice
26791,cirasseva,sandhi,after a very long time
30024,tamahaṃ,sandhi,him I; that I
31244,tepi,sandhi,they too; and those too
31974,damma 1.1,ptp,able to be tamed; fit to be trained; tameable; trainable
32108,dassana 3,nt,insight; realization; spiritual vision
35086,dhānī,fem,seat; capital
35765,nabhas,masc,sky
39984,paññapeti 1,pr,teaches; preaches; proclaims
41538,paṇāmetvā 2,abs,(of hands) having stretched out (in reverential salutation)
41988,patha 1,masc,path; road; way
42180,paduma 1,nt,lotus; (specifically) pink lotus; (comm) lotus with more than one hundred petals; (or) white lotus
42303,panāyasmā,sandhi,and venerable
42469,pabbajati,pr,ordains as a monastic; renounces the household life
44460,palāyati,pr,runs away; flees; escapes
44968,pavisati,pr,enters; goes (into)
49433,bhaya 2,nt,fear (of); terror (of); fright; dismay
50038,bhīta 1,pp,afraid (of); frightened (by); terrified (of)
50717,majjha 1,adj,middle of; mid-
51576,mahatā 1,adj,with a great; with a large
53097,mūlaka 1,adj,rooted in; originating in; stemming from; because of
53819,yasas,masc,fame; reputation; renown; honour; glory; prestige
58152,santa 1.1,prp,existing; being; there is
59691,samāna 2.1,prp,being; having; existing
60737,sammadeva 2,sandhi,rightly; correctly; truly
62471,sārathi 3,masc,leader
13715,idhekacca,pron,here one; here a certain; in this case some; some people here
16130,upasampadā 2,fem,(vinaya) higher ordination as monastic
24450,gambhīra 1,adj,deep
42654,pamatta 1,pp,careless; heedless; negligent; inattentive
43350,paricita 1,pp,practised; rehearsed; consolidated; familiarized
45576,pāpa 1,adj,evil; criminal; wrong; bad; vicious
45847,pālaka 1,masc,shepherd; herder
47186,pūti 1,adj,fermented; foul-smelling; fetid; stinking; rotten; putrid
54031,yāvatā 1,ind,as long as; as far as; of all; to the extent that
54764,rahada,masc,deep pool; lake
56639,saṅkā,fem,doubt; suspicion; uncertainty
61661,saṃyutta 1,pp,bound (with); connected (to); fettered (with); tied (to)
65197,sota 1.1,masc,stream; river; current
65968,vata 2.1,nt,religious duty; spiritual practice; ritual observance; vow
66084,vatthu 6,nt,basis (for); grounds (for)
66734,vāta 1,masc,wind
66981,vāsa 1.1,masc,living; dwelling; residence; staying
67976,viditvā 2.1,abs,having known; having perceived; having understood
8502,amanāpa 1,adj,unpleasant; dislikeable; disagreeable; detestable
10189,avacara 1,adj,accustomed (to); familiar (with); at home (in)
13760,indriyasaṃvara,masc,control of the mind; sense restraint
20800,kassapa 3,masc,family name
26453,cāyasmā,sandhi,and venerable; but reverend
33061,duccarita 2,nt,misconduct; misbehaviour; bad behaviour (by)
42340,paneva,sandhi,now if; and just; further
50103,bhutta 1,pp,eaten; finished eating
51668,mahākassapa,masc,name of an arahant monk; great disciple of the Buddha; foremost disciple in preaching ascetic practices
63655,sucarita 2,nt,good conduct (by); good behaviour (by)
65611,vacī 1,adj,verbal; with speech
66778,vāda 3,masc,debate; argument; disputation
69981,vuṭṭhahi 2,aor,(of an illness) recovered from
7067,appahīna,pp,not removed; not given up; not abandoned
7572,abhikkamosānaṃ,sandhi,their increase; worsening of these
10844,ahañhi,sandhi,I truly; I certainly
20574,kalandaka,masc,squirrel
20575,kalandakanivāpa,masc,name of a park outside Rājagaha
38446,nivāsetvā,abs,having dressed up (in); having robed up; having put on; having donned
42293,panassa,sandhi,and for him; and his
42308,panāhaṃ,sandhi,but I; then I; and I
42335,panetaṃ,sandhi,and this; but this
46853,pubbaṇhasamayaṃ,ind,early in the morning
58406,sandissati 1,pr,knows well; has first-hand experience (of)
68788,viya,ind,like; as
2598,attha 1.2,masc,benefit; profit; good; welfare
16494,upeti 1,pr,comes; approaches; enters
20233,kamma 1,nt,action; deed; doing
24045,gacchanta,prp,going; walking; travelling
25530,ghara 1,nt,house; home; household
30196,tasseva 2,sandhi,of that very; of that exact; of the same
37615,nibbāpana 1,nt,(of fire) extinguishing; quenching; putting out
45441,pātu,ind,in front; visible; open
47001,purima 1,adj,earlier; past; former; previous
